uid,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,date,time,uf_x,uf_y
31,2,2,0,0,,0,,,26/02/2020,11:30,MG,MG
32,1,0,0,0,,0,,,26/02/2020,11:30,ES,ES
33,2,8,0,0,,0,,,26/02/2020,11:30,RJ,RJ
35,11,28,0,0,,1,,,26/02/2020,11:30,SP,SP
41,0,3,0,0,,0,,,26/02/2020,11:30,PR,PR
42,2,4,0,0,,0,,,26/02/2020,11:30,SC,SC
43,0,10,0,0,,0,,,26/02/2020,11:30,RS,RS
53,0,1,0,0,,0,,,26/02/2020,11:30,DF,DF
23,5,1,0,0,,0,,,27/02/2020,17:00,CE,CE
24,4,0,0,0,,0,,,27/02/2020,17:00,RN,RN
25,1,0,0,0,,0,,,27/02/2020,17:00,PB,PB
26,3,0,0,0,,0,,,27/02/2020,17:00,PE,PE
27,1,0,0,0,,0,,,27/02/2020,17:00,AL,AL
29,1,2,0,0,,0,,,27/02/2020,17:00,BA,BA
31,5,3,0,0,,0,,,27/02/2020,17:00,MG,MG
32,1,0,0,0,,0,,,27/02/2020,17:00,ES,ES
33,9,8,0,0,,0,,,27/02/2020,17:00,RJ,RJ
35,55,28,0,0,,1,,,27/02/2020,17:00,SP,SP
41,5,3,0,0,,0,,,27/02/2020,17:00,PR,PR
42,8,4,0,0,,0,,,27/02/2020,17:00,SC,SC
43,24,10,0,0,,0,,,27/02/2020,17:00,RS,RS
50,2,0,0,0,,0,,,27/02/2020,17:00,MS,MS
52,3,0,0,0,,0,,,27/02/2020,17:00,GO,GO
53,5,1,0,0,,0,,,27/02/2020,17:00,DF,DF
23,6,2,0,0,,0,,,28/02/2020,16:10,CE,CE
24,3,2,0,0,,0,,,28/02/2020,16:10,RN,RN
25,1,1,0,0,,0,,,28/02/2020,16:10,PB,PB
26,5,2,0,0,,0,,,28/02/2020,16:10,PE,PE
27,1,0,0,0,,0,,,28/02/2020,16:10,AL,AL
29,9,4,0,0,,0,,,28/02/2020,16:10,BA,BA
31,17,3,0,0,,0,,,28/02/2020,16:10,MG,MG
32,2,1,0,0,,0,,,28/02/2020,16:10,ES,ES
33,19,8,0,0,,0,,,28/02/2020,16:10,RJ,RJ
35,66,30,0,0,,1,,,28/02/2020,16:10,SP,SP
41,5,3,0,0,,0,,,28/02/2020,16:10,PR,PR
42,9,4,0,0,,0,,,28/02/2020,16:10,SC,SC
43,27,10,0,0,,0,,,28/02/2020,16:10,RS,RS
50,2,0,0,0,,0,,,28/02/2020,16:10,MS,MS
52,5,0,0,0,,0,,,28/02/2020,16:10,GO,GO
53,5,1,0,0,,0,,,28/02/2020,16:10,DF,DF
23,6,2,0,0,,0,,,29/02/2020,19:05,CE,CE
24,3,2,0,0,,0,,,29/02/2020,19:05,RN,RN
25,1,1,0,0,,0,,,29/02/2020,19:05,PB,PB
26,5,2,0,0,,0,,,29/02/2020,19:05,PE,PE
27,1,0,0,0,,0,,,29/02/2020,19:05,AL,AL
29,9,4,0,0,,0,,,29/02/2020,19:05,BA,BA
31,17,3,0,0,,0,,,29/02/2020,19:05,MG,MG
32,2,1,0,0,,0,,,29/02/2020,19:05,ES,ES
33,19,8,0,0,,0,,,29/02/2020,19:05,RJ,RJ
35,91,38,0,0,,2,,,29/02/2020,19:05,SP,SP
41,5,3,0,0,,0,,,29/02/2020,19:05,PR,PR
42,9,4,0,0,,0,,,29/02/2020,19:05,SC,SC
43,27,10,0,0,,0,,,29/02/2020,19:05,RS,RS
50,2,0,0,0,,0,,,29/02/2020,19:05,MS,MS
52,5,0,0,0,,0,,,29/02/2020,19:05,GO,GO
53,5,1,0,0,,0,,,29/02/2020,19:05,DF,DF
23,6,2,0,0,,0,,,01/03/2020,15:05,CE,CE
24,3,2,0,0,,0,,,01/03/2020,15:05,RN,RN
25,1,1,0,0,,0,,,01/03/2020,15:05,PB,PB
26,5,2,0,0,,0,,,01/03/2020,15:05,PE,PE
27,1,0,0,0,,0,,,01/03/2020,15:05,AL,AL
29,9,4,0,0,,0,,,01/03/2020,15:05,BA,BA
31,17,3,0,0,,0,,,01/03/2020,15:05,MG,MG
32,2,1,0,0,,0,,,01/03/2020,15:05,ES,ES
33,19,8,0,0,,0,,,01/03/2020,15:05,RJ,RJ
35,136,48,0,0,,2,,,01/03/2020,15:05,SP,SP
41,5,3,0,0,,0,,,01/03/2020,15:05,PR,PR
42,9,4,0,0,,0,,,01/03/2020,15:05,SC,SC
43,27,10,0,0,,0,,,01/03/2020,15:05,RS,RS
50,2,0,0,0,,0,,,01/03/2020,15:05,MS,MS
52,5,0,0,0,,0,,,01/03/2020,15:05,GO,GO
53,5,1,0,0,,0,,,01/03/2020,15:05,DF,DF
11,1,0,0,0,,0,,,02/03/2020,16:30,RO,RO
13,1,1,0,0,,0,,,02/03/2020,16:30,AM,AM
15,2,2,0,0,,0,,,02/03/2020,16:30,PA,PA
21,1,1,0,0,,0,,,02/03/2020,16:30,MA,MA
22,1,2,0,0,,0,,,02/03/2020,16:30,PI,PI
23,6,6,0,0,,0,,,02/03/2020,16:30,CE,CE
24,2,6,0,0,,0,,,02/03/2020,16:30,RN,RN
25,2,1,0,0,,0,,,02/03/2020,16:30,PB,PB
26,4,10,0,0,,0,,,02/03/2020,16:30,PE,PE
27,3,1,0,0,,0,,,02/03/2020,16:30,AL,AL
28,1,0,0,0,,0,,,02/03/2020,16:30,SE,SE
29,9,14,0,0,,0,,,02/03/2020,16:30,BA,BA
31,48,4,0,0,,0,,,02/03/2020,16:30,MG,MG
32,5,6,0,0,,0,,,02/03/2020,16:30,ES,ES
33,42,27,0,0,,0,,,02/03/2020,16:30,RJ,RJ
35,163,48,0,0,,2,,,02/03/2020,16:30,SP,SP
41,7,8,0,0,,0,,,02/03/2020,16:30,PR,PR
42,36,4,0,0,,0,,,02/03/2020,16:30,SC,SC
43,73,10,0,0,,0,,,02/03/2020,16:30,RS,RS
50,6,1,0,0,,0,,,02/03/2020,16:30,MS,MS
51,5,0,0,0,,0,,,02/03/2020,16:30,MT,MT
52,3,7,0,0,,0,,,02/03/2020,16:30,GO,GO
53,12,3,0,0,,0,,,02/03/2020,16:30,DF,DF
11,1,0,0,0,,0,,,03/03/2020,15:50,RO,RO
13,3,1,0,0,,0,,,03/03/2020,15:50,AM,AM
15,1,4,0,0,,0,,,03/03/2020,15:50,PA,PA
21,1,1,0,0,,0,,,03/03/2020,15:50,MA,MA
22,1,2,0,0,,0,,,03/03/2020,15:50,PI,PI
23,19,9,0,0,,0,,,03/03/2020,15:50,CE,CE
24,2,6,0,0,,0,,,03/03/2020,15:50,RN,RN
25,4,1,0,0,,0,,,03/03/2020,15:50,PB,PB
26,4,11,0,0,,0,,,03/03/2020,15:50,PE,PE
27,5,1,0,0,,0,,,03/03/2020,15:50,AL,AL
28,1,0,0,0,,0,,,03/03/2020,15:50,SE,SE
29,21,16,0,0,,0,,,03/03/2020,15:50,BA,BA
31,58,6,0,0,,0,,,03/03/2020,15:50,MG,MG
32,5,6,0,0,,0,,,03/03/2020,15:50,ES,ES
33,62,29,0,0,,0,,,03/03/2020,15:50,RJ,RJ
35,130,104,0,0,,2,,,03/03/2020,15:50,SP,SP
41,14,8,0,0,,0,,,03/03/2020,15:50,PR,PR
42,43,4,0,0,,0,,,03/03/2020,15:50,SC,SC
43,82,20,0,0,,0,,,03/03/2020,15:50,RS,RS
50,6,1,0,0,,0,,,03/03/2020,15:50,MS,MS
51,6,0,0,0,,0,,,03/03/2020,15:50,MT,MT
